date,open,high,low,close,volume,dividends,stock splits
1994-02-11,28.310076029115834,28.460561483091197,28.178401256887387,28.385318756103516,519400,0.0,0
1994-02-14,28.328885894512833,28.51699270656139,28.29126453210312,28.42293930053711,2742100,0.0,0
1994-02-15,28.479368083017132,28.592232157322353,28.441746724915394,28.573421478271484,374700,0.0,0
1994-02-16,28.611033688420836,28.611033688420836,28.498169650202215,28.554601669311523,287600,0.0,0
1994-02-17,28.68628966405425,28.70510034580117,28.310076029115834,28.385318756103516,342400,0.0,0
1994-02-18,28.40413314819336,28.42294383239746,28.140783569335937,28.216026306152344,313300,0.0,0
1994-02-22,28.291259121029288,28.49817657470703,28.291259121029288,28.49817657470703,154500,0.0,0
1994-02-23,28.535803387766247,28.5546140689711,28.328885894512833,28.42293930053711,391700,0.0,0
1994-02-24,28.32887296465561,28.32887296465561,28.027902202746915,28.04671287536621,770800,0.0,0
1994-02-25,28.084329526160204,28.178382873535156,28.027897517735234,28.178382873535156,531300,0.0,0
1994-02-28,28.253625551435118,28.328868229335075,28.178382873535156,28.178382873535156,333000,0.0,0
1994-03-01,28.178381436631764,28.23481344217909,27.915032077410906,28.06551742553711,423600,0.0,0
1994-03-02,27.708127106049933,28.103151321411133,27.632884398362084,28.103151321411133,581500,0.0,0
1994-03-03,28.06551248947246,28.06551248947246,27.952648498227934,28.027891159057617,223200,0.0,0
1994-03-04,28.027908613723284,28.17839402909898,27.933855229113476,28.103151321411133,595800,0.0,0
1994-03-07,28.197207185463327,28.291260578343458,28.197207185463327,28.253639221191406,539800,0.0,0
1994-03-08,28.27245234933129,28.27245234933129,28.10315622747901,28.140777587890625,880300,0.0,0
1994-03-09,28.17837899284845,28.29124299415492,28.046704324657572,28.272432327270508,2500100,0.0,0
1994-03-10,28.253630274178434,28.253630274178434,27.952659512269744,28.04671287536621,207400,0.0,0
1994-03-11,28.084344328205294,28.23482976331959,27.933858893091,28.197208404541016,576600,0.0,0
1994-03-14,28.310071664361615,28.310071664361615,28.197207591281106,28.23482894897461,345900,0.0,0
1994-03-15,28.29126904296875,28.347701095581055,28.197215621948242,28.216026306152344,748600,0.0,0
1994-03-16,28.253625710805256,28.44173240661621,28.15957236289978,28.44173240661621,455500,0.0,0
1994-03-17,28.347679058710735,28.4793537457784,28.347679058710735,28.44173240661621,133000,0.0,0
1994-03-18,28.303104931088345,28.47337762118179,28.284185743300185,28.43553924560547,365500,0.271,0
1994-03-21,28.340951717241833,28.416628490852624,28.284194137033737,28.35987091064453,324800,0.0,0
